timestamp,attention_score,status,gaze_direction,head_pose,blink_rate_per_min
2026-03-14 16:46:35,86,Attentive,Center,Left,0.0
2026-03-14 16:46:40,86,Attentive,Center,Left,0.0
2026-03-14 16:46:45,86,Attentive,Center,Left,0.0
2026-03-14 16:46:50,86,Attentive,Center,Left,0.0
2026-03-14 16:46:55,30,Distracted,Right,Left,40.3
2026-03-14 16:47:00,76,Distracted,Right,Left,9.2
2026-03-14 16:47:05,39,Distracted,Right,Left,5.1
2026-03-14 16:47:10,53,Distracted,Center,Left,3.6
2026-03-14 16:47:15,38,Distracted,Right,Left,2.7
2026-03-14 16:47:20,52,Distracted,Center,Left,2.2
2026-03-14 16:47:25,90,Attentive,Center,Left,7.5
2026-03-14 16:47:30,89,Attentive,Center,Left,6.5
2026-03-14 16:47:35,70,Attentive,Center,Left,7.1
2026-03-14 16:47:40,88,Attentive,Center,Down,6.4
2026-03-14 16:47:45,89,Attentive,Center,Left,6.9
2026-03-14 16:47:51,95,Attentive,Center,Forward,10.5
2026-03-14 16:47:56,93,Attentive,Center,Left,15.6
2026-03-14 16:48:01,93,Attentive,Center,Left,13.6
2026-03-14 16:48:06,91,Attentive,Center,Down,12.1
2026-03-14 16:48:11,90,Attentive,Center,Down,10.9
2026-03-14 16:48:16,96,Attentive,Center,Forward,9.8
2026-03-14 16:48:21,96,Attentive,Center,Forward,9.0
2026-03-14 16:48:26,89,Attentive,Center,Left,6.7
2026-03-14 16:48:31,95,Attentive,Center,Forward,6.1
2026-03-14 16:48:36,89,Attentive,Center,Left,5.6
2026-03-14 16:48:41,89,Attentive,Center,Left,7.1
2026-03-14 16:48:46,91,Attentive,Center,Left,9.2
2026-03-14 16:48:51,77,Attentive,Center,Down,28.6
2026-03-14 16:48:56,87,Attentive,Center,Left,20.4
2026-03-14 16:49:01,98,Attentive,Center,Forward,15.8
2026-03-14 16:49:06,99,Attentive,Center,Forward,13.0
2026-03-14 16:50:02,89,Attentive,Center,Forward,0.0
2026-03-14 16:53:47,86,Attentive,Center,Left,0.0
2026-03-14 16:53:52,86,Attentive,Center,Left,0.0
2026-03-14 16:53:57,92,Attentive,Center,Forward,0.0
2026-03-14 16:54:48,86,Attentive,Center,Left,0.0
2026-03-14 16:54:53,86,Attentive,Center,Left,0.0
2026-03-14 16:54:58,66,Attentive,Center,Left,0.0
2026-03-14 16:55:03,33,Distracted,Left,Down,0.0
2026-03-14 16:55:08,35,Distracted,Left,Down,0.0
2026-03-14 16:55:13,84,Attentive,Center,Down,0.0
2026-03-14 16:55:18,30,Distracted,Down,Down,0.0
2026-03-14 16:55:23,86,Attentive,Center,Left,0.0
2026-03-14 16:55:28,49,Distracted,Center,Left,0.0
2026-03-14 16:55:33,85,Attentive,Center,Down,0.0
2026-03-14 16:55:38,86,Attentive,Center,Left,0.0
2026-03-14 16:55:43,78,Attentive,Center,Left,46.5
2026-03-14 16:55:48,78,Attentive,Center,Left,33.8
2026-03-14 16:55:53,86,Attentive,Center,Left,21.5
2026-03-14 16:55:58,92,Attentive,Center,Left,15.8
2026-03-14 16:56:03,81,Attentive,Center,Forward,12.4
2026-03-14 16:56:08,91,Attentive,Center,Left,10.3
2026-03-14 16:56:13,36,Distracted,Left,Down,8.8
2026-03-14 16:56:18,57,Distracted,Left,Down,7.6
2026-03-14 16:56:23,89,Attentive,Center,Left,6.8
2026-03-14 16:56:28,52,Distracted,Center,Down,6.1
2026-03-14 16:56:33,45,Distracted,Center,Down,5.5
2026-03-14 16:56:38,88,Attentive,Center,Left,5.0
2026-03-14 16:56:43,86,Attentive,Center,Left,1.0
2026-03-14 16:56:48,86,Attentive,Center,Left,0.0
2026-03-14 16:56:53,86,Attentive,Center,Left,0.0
2026-03-14 16:56:58,28,Distracted,Down,Down,0.0
2026-03-14 16:57:03,51,Distracted,Center,Left,0.0
2026-03-14 16:57:09,86,Attentive,Center,Left,0.0
2026-03-14 16:57:14,86,Attentive,Center,Left,0.0
2026-03-14 16:57:19,78,Attentive,Center,Left,52.4
2026-03-14 16:57:24,78,Attentive,Center,Left,27.7
2026-03-14 16:57:29,86,Attentive,Center,Forward,30.3
2026-03-14 16:57:34,85,Attentive,Center,Left,23.0
2026-03-14 16:57:39,89,Attentive,Center,Left,18.5
2026-03-14 16:57:44,93,Attentive,Center,Left,15.5
2026-03-14 16:57:49,93,Attentive,Center,Left,13.3
2026-03-14 17:56:43,79,Attentive,Center,Left,0.0
2026-03-14 17:56:48,86,Attentive,Center,Left,0.0
2026-03-14 17:56:53,86,Attentive,Center,Left,0.0
2026-03-14 17:56:58,86,Attentive,Center,Left,0.0
2026-03-14 17:57:03,86,Attentive,Center,Left,0.0
2026-03-14 17:57:08,86,Attentive,Center,Left,0.0
2026-03-14 17:57:13,69,Attentive,Center,Down,0.0
2026-03-14 17:57:18,64,Attentive,Center,Down,0.0
2026-03-14 17:57:23,86,Attentive,Center,Left,0.0
2026-03-14 17:57:28,90,Attentive,Center,Forward,0.0
2026-03-14 17:57:33,86,Attentive,Center,Left,0.0
2026-03-14 17:57:38,69,Attentive,Center,Down,0.0
2026-03-14 17:57:43,51,Distracted,Center,Left,0.0
2026-03-14 17:57:48,76,Attentive,Center,Left,0.0
2026-03-14 17:57:53,76,Distracted,Right,Left,0.0
2026-03-14 17:57:58,61,Distracted,Right,Left,0.0
2026-03-14 17:58:03,86,Attentive,Center,Left,0.0
2026-03-14 17:58:08,86,Attentive,Center,Left,0.0
2026-03-14 17:58:13,86,Attentive,Center,Left,0.0
2026-03-14 17:58:18,55,Attentive,Center,Down,0.0
2026-03-14 17:58:23,81,Attentive,Center,Left,0.0
2026-03-14 17:58:28,37,Distracted,Right,Left,0.0
2026-03-14 17:58:33,37,Distracted,Right,Left,0.0
2026-03-14 17:58:38,37,Distracted,Right,Left,0.0
2026-03-14 17:58:43,86,Attentive,Center,Left,0.0
2026-03-14 23:05:09,86,Attentive,Center,Left,0.0
2026-03-14 23:05:14,86,Attentive,Center,Left,0.0
2026-03-14 23:05:19,78,Attentive,Center,Left,36.4
2026-03-14 23:05:24,85,Attentive,Center,Left,24.0
2026-03-14 23:05:29,79,Attentive,Center,Left,27.9
2026-03-14 23:05:34,84,Attentive,Center,Left,23.8
2026-03-14 23:05:39,83,Attentive,Center,Left,26.2
2026-03-14 23:05:44,84,Attentive,Center,Left,23.8
2026-03-14 23:05:49,84,Attentive,Center,Left,23.8
2026-03-14 23:05:54,82,Attentive,Center,Left,25.3
2026-03-14 23:05:59,74,Attentive,Center,Down,22.5
2026-03-14 23:06:04,88,Attentive,Center,Forward,20.2
2026-03-14 23:06:09,90,Attentive,Center,Left,18.4
2026-03-14 23:06:14,92,Attentive,Center,Left,16.4
2026-03-14 23:06:19,87,Attentive,Center,Down,14.5
2026-03-14 23:06:24,93,Attentive,Center,Left,14.1
2026-03-14 23:06:29,91,Attentive,Center,Left,11.0
2026-03-14 23:06:34,80,Attentive,Center,Down,11.1
2026-03-14 23:06:39,90,Attentive,Center,Left,7.9
2026-03-14 23:06:44,91,Attentive,Center,Forward,8.2
2026-03-14 23:06:49,88,Attentive,Center,Left,5.0
2026-03-14 23:06:54,89,Attentive,Center,Left,5.6
2026-03-14 23:07:00,88,Attentive,Center,Left,4.8
2026-03-14 23:07:05,88,Attentive,Center,Left,4.2
2026-03-14 23:17:55,84,Attentive,Center,Left,20.8
2026-03-14 23:18:00,77,Attentive,Center,Down,30.4
2026-03-14 23:18:05,89,Attentive,Center,Left,18.6
2026-03-14 23:18:10,93,Attentive,Center,Left,13.4
2026-03-14 23:18:15,91,Attentive,Center,Left,10.4
2026-03-14 23:18:20,90,Attentive,Center,Left,8.5
2026-03-14 23:18:25,93,Attentive,Center,Left,14.5
2026-03-14 23:18:30,92,Attentive,Center,Left,17.3
2026-03-14 23:18:35,94,Attentive,Center,Forward,18.1
2026-03-14 23:18:40,61,Attentive,Center,Down,16.2
2026-03-14 23:18:45,94,Attentive,Center,Left,14.6
2026-03-14 23:18:50,92,Attentive,Center,Left,16.5
2026-03-14 23:18:56,94,Attentive,Center,Forward,14.1
2026-03-14 23:19:01,86,Attentive,Center,Down,20.4
2026-03-14 23:19:06,74,Attentive,Center,Down,18.0
2026-03-14 23:19:11,93,Attentive,Center,Left,16.1
2026-03-14 23:19:16,93,Attentive,Center,Left,14.6
2026-03-14 23:19:21,99,Attentive,Center,Forward,14.4
2026-03-14 23:19:26,94,Attentive,Center,Forward,12.4
2026-03-14 23:19:31,92,Attentive,Center,Left,10.2
2026-03-14 23:19:36,90,Attentive,Center,Down,10.9
2026-03-14 23:19:41,91,Attentive,Center,Down,12.1
2026-03-14 23:19:46,91,Attentive,Center,Down,12.1
2026-03-14 23:19:51,95,Attentive,Center,Forward,11.4
2026-03-14 23:19:56,94,Attentive,Center,Forward,12.5
2026-03-14 23:20:01,90,Attentive,Center,Left,18.5
2026-03-14 23:20:06,91,Attentive,Center,Left,20.3
2026-03-14 23:20:11,90,Attentive,Center,Left,20.7
2026-03-14 23:20:16,86,Attentive,Center,Left,22.0
2026-03-14 23:20:21,82,Attentive,Center,Left,25.3
2026-03-14 23:20:26,91,Attentive,Center,Forward,22.7
2026-03-14 23:20:31,88,Attentive,Center,Left,22.8
2026-03-14 23:20:36,85,Attentive,Center,Left,23.1
2026-03-14 23:20:41,82,Attentive,Center,Left,25.3
2026-03-14 23:20:46,72,Attentive,Center,Down,28.0
2026-03-14 23:20:51,80,Attentive,Center,Left,27.4
2026-03-14 23:20:56,85,Attentive,Center,Forward,27.1
2026-03-14 23:21:01,0,No Face,Center,Down,25.0
2026-03-14 23:21:06,0,No Face,Center,Down,22.2
2026-03-14 23:21:11,91,Attentive,Center,Left,20.4
2026-03-14 23:21:16,91,Attentive,Center,Left,17.0
2026-03-14 23:21:21,91,Attentive,Center,Left,17.6
2026-03-14 23:21:27,91,Attentive,Center,Left,17.1
2026-03-14 23:21:32,89,Attentive,Center,Down,18.3
2026-03-14 23:21:37,88,Attentive,Center,Forward,19.0
2026-03-14 23:21:42,86,Attentive,Center,Down,21.2
2026-03-14 23:21:47,72,Attentive,Center,Down,28.7
2026-03-14 23:21:52,79,Attentive,Center,Down,27.3
2026-03-14 23:21:57,76,Attentive,Center,Down,39.0
2026-03-14 23:22:02,76,Attentive,Center,Down,34.5
2026-03-14 23:22:07,76,Attentive,Center,Down,34.6
2026-03-14 23:22:12,60,Attentive,Center,Down,31.4
2026-03-14 23:22:17,79,Attentive,Center,Left,28.7
2026-03-14 23:22:22,82,Attentive,Center,Forward,28.2
2026-03-14 23:22:27,0,No Face,Center,Down,26.0
2026-03-14 23:22:32,84,Attentive,Center,Down,22.0
2026-03-14 23:22:37,77,Distracted,Left,Down,20.2
2026-03-14 23:22:42,88,Distracted,Left,Forward,14.1
2026-03-14 23:22:47,96,Attentive,Center,Forward,7.5
2026-03-14 23:22:52,83,Attentive,Center,Forward,8.7
2026-03-14 23:22:57,90,Attentive,Center,Left,7.9
2026-03-14 23:23:02,88,Attentive,Center,Down,7.2
2026-03-14 23:23:07,74,Attentive,Center,Down,4.9
2026-03-14 23:23:12,90,Attentive,Center,Down,6.7
2026-03-14 23:23:17,87,Attentive,Center,Down,6.1
2026-03-14 23:23:22,88,Attentive,Center,Down,7.7
2026-03-14 23:23:27,92,Attentive,Center,Left,6.8
2026-03-14 23:23:32,89,Attentive,Center,Left,7.3
2026-03-14 23:23:37,96,Attentive,Center,Forward,8.9
2026-03-14 23:23:42,98,Attentive,Center,Forward,11.2
2026-03-14 23:23:47,97,Attentive,Center,Forward,13.9
2026-03-14 23:23:52,90,Attentive,Center,Forward,22.9
2026-03-14 23:23:57,89,Attentive,Center,Forward,25.4
2026-03-14 23:24:02,86,Attentive,Center,Forward,27.5
2026-03-14 23:24:07,83,Attentive,Center,Left,27.2
2026-03-14 23:24:12,80,Attentive,Center,Forward,36.8
2026-03-14 23:24:18,83,Attentive,Center,Forward,35.4
2026-03-14 23:24:23,78,Attentive,Center,Left,32.0
2026-03-14 23:24:28,78,Attentive,Center,Left,34.4
2026-03-14 23:24:33,81,Attentive,Center,Left,34.3
2026-03-14 23:24:38,81,Attentive,Center,Left,35.2
2026-03-14 23:24:43,79,Attentive,Center,Left,34.7
2026-03-14 23:24:48,82,Attentive,Center,Forward,32.3
